		class	id	{	}	;	program	(	)	float	int	if	then	else	for	get	put	return	+	-	num	integer	not	.	[	]	,	=	==	<>	<	>	<=	>=	or	*	/	and	$	
arraySize	98	98	98	98	97	98	98	97	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	70	98	97	98	98	98	98	98	98	98	98	98	98	98	98	
type		98	73	98	98	98	98	98	98	72	71	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	
fParams		98	74	98	98	98	98	98	75	74	74	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	
I		98	98	98	98	98	98	98	77	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	76	98	98	98	98	98	98	98	98	98	98	98	98	
aParams		98	78	98	98	98	98	78	79	98	98	98	98	98	98	98	98	98	78	78	78	78	78	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	
J		98	98	98	98	98	98	98	81	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	80	98	98	98	98	98	98	98	98	98	98	98	98	
fParamsTail	98	98	98	98	98	98	98	97	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	82	98	98	98	98	98	98	98	98	98	98	98	98	
aParamsTail	98	98	98	98	98	98	98	97	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	83	98	98	98	98	98	98	98	98	98	98	98	98	
assignOp	98	97	98	98	98	98	97	98	98	98	98	98	98	98	98	98	98	97	97	97	97	97	98	98	98	98	84	98	98	98	98	98	98	98	98	98	98	98	
relOp		98	97	98	98	98	98	97	98	98	98	98	98	98	98	98	98	98	97	97	97	97	97	98	98	98	98	98	85	86	87	88	89	90	98	98	98	98	98	
addOp		98	97	98	98	98	98	97	98	98	98	98	98	98	98	98	98	98	91	92	97	97	97	98	98	98	98	98	98	98	98	98	98	98	93	98	98	98	98	
multOp		98	97	98	98	98	98	97	98	98	98	98	98	98	98	98	98	98	97	97	97	97	97	98	98	98	98	98	98	98	98	98	98	98	98	94	95	96	98
